
PT J
AU Yuan, LN
   Li, L
   Zhang, T
   Chen, LQ
   Liu, WQ
   Hu, S
   Yang, LH
AF Yuan, Lina
   Li, Long
   Zhang, Ting
   Chen, Longqian
   Liu, Weiqiang
   Hu, Sai
   Yang, Longhua
TI Modeling Soil Moisture from Multisource Data by Stepwise Multilinear Regression: An Application to the Chinese Loess Plateau
SO ISPRS INTERNATIONAL JOURNAL OF GEO-INFORMATION
LA English
DT Article
DE relative soil moisture; Chinese Loess Plateau; stepwise multilinear regression; dummy variables
ID multiple-linear-regression; artificial neural-networks; land-surface model; water content; data assimilation; small catchment; amsr-e; temporal variations; dummy variables; re-vegetation
AB This study aims to integrate multisource data to model the relative soil moisture (RSM) over the Chinese Loess Plateau in 2017 by stepwise multilinear regression (SMLR) in order to improve the spatial coverage of our previously published RSM. First, 34 candidate variables (12 quantitative and 22 dummy variables) from the Moderate Resolution Imaging Spectroradiometer (MODIS) and topographic, soil properties, and meteorological data were preprocessed. Then, SMLR was applied to variables without multicollinearity to select statistically significant (p-value < 0.05) variables. After the accuracy assessment, monthly, seasonal, and annual spatial patterns of RSM were mapped at 500 m resolution and evaluated. The results indicate that there was a high potential of SMLR to model RSM with the desired accuracy (best fit of the model with Pearson's r = 0.969, root mean square error = 0.761%, and mean absolute error = 0.576%) over the Chinese Loess Plateau. The variables of elevation (0-500 m and 2000-2500 m), precipitation, soil texture of loam, and nighttime land surface temperature can continuously be used in the regression models for all seasons. Including dummy variables improved the model fit both in calibration and validation. Moreover, the SMLR-modeled RSM achieved better spatial coverage than that of the reference RSM for almost all periods. This is a significant finding as the SMLR method supports the use of multisource data to complement and/or replace coarse resolution satellite imagery in the estimation of RSM.
C1 [Yuan, Lina; Li, Long; Zhang, Ting; Chen, Longqian] China Univ Min & Technol, Sch Publ Policy & Management, Daxue Rd 1, Xuzhou 221116, Jiangsu, Peoples R China.
   [Li, Long] Vrije Univ Brussel, Dept Geog & Earth Syst Sci, Pl Laan 2, B-1050 Brussels, Belgium.
   Cheng L, 2019, INT J ENV RES PUB HE, V16, P0, DOI 10.3390/ijerph16193522
   Claps P, 2004, P SOC PHOTO-OPT INS, V5232, P378, DOI 10.1117/12.510984
   COHEN A, 1991, AM STAT, V45, P226, DOI 10.2307/2684296
   Colliander A, 2017, IEEE GEOSCI REMOTE S, V14, P2107, DOI 10.1109/LGRS.2017.2753203
   Cox NJ, 2019, STATA J, V19, P246, DOI 10.1177/1536867X19830921
   Djamai N, 2016, REMOTE SENS ENVIRON, V184, P1, DOI 10.1016/j.rse.2016.06.010
   Djamai N, 2015, REMOTE SENS ENVIRON, V170, P255, DOI 10.1016/j.rse.2015.09.013
   Dong JZ, 2015, ADV WATER RESOUR, V83, P111, DOI 10.1016/j.advwatres.2015.05.017
   Dorigo W, 2016, INT J APPL EARTH OBS, V48, P1, DOI 10.1016/j.jag.2016.02.007
   Doubkova M, 2012, REMOTE SENS ENVIRON, V120, P188, DOI 10.1016/j.rse.2011.09.031
   Dumedah G, 2014, ADV WATER RESOUR, V74, P231, DOI 10.1016/j.advwatres.2014.09.011
   Dumedah G, 2014, J HYDROL, V515, P330, DOI 10.1016/j.jhydrol.2014.04.068
   Ebrahimi-Khusfi M, 2018, INT J APPL EARTH OBS, V67, P148, DOI 10.1016/j.jag.2017.12.005
   Eeftens M, 2012, ENVIRON SCI TECHNOL, V46, P11195, DOI 10.1021/es301948k
   Elshorbagy A, 2008, J HYDROL, V362, P1, DOI 10.1016/j.jhydrol.2008.08.012
   Fang B, 2014, J HYDROL, V516, P258, DOI 10.1016/j.jhydrol.2013.12.008
   Fu BJ, 2003, CATENA, V54, P197, DOI 10.1016/S0341-8162(03)00065-1
   Futing Liao T., 2012, SAGE ENCY SOCIAL SCI, V0, P1
   Geng R, 2017, BIOSYST ENG, V160, P95, DOI 10.1016/j.biosystemseng.2017.06.001
   Gupta DK, 2017, ADV SPACE RES, V59, P996, DOI 10.1016/j.asr.2016.11.032
   Han JQ, 2018, J HYDROL, V563, P65, DOI 10.1016/j.jhydrol.2018.05.051
   He J, 2013, THERM SCI, V17, P1375, DOI 10.2298/TSCI1305375H
   Hirsch-Eshkol T, 2014, LAND, V3, P1015, DOI 10.3390/land3031015
   Holgersson T, 2016, J APPL STAT, V43, P1564, DOI 10.1080/02664763.2015.1092711
   Hu W, 2011, GEODERMA, V162, P260, DOI 10.1016/j.geoderma.2011.02.008
   Huza J, 2014, J HYDROL, V516, P330, DOI 10.1016/j.jhydrol.2014.01.041
   Jenkins DG, 2020, PLOS ONE, V15, P0, DOI 10.1371/journal.pone.0229345
   Jiao L, 2018, FOREST ECOL MANAG, V424, P428, DOI 10.1016/j.foreco.2018.05.011
   Jiao Q, 2016, REMOTE SENS-BASEL, V8, P0, DOI 10.3390/rs8020156
   Karthikeyan L, 2017, ADV WATER RESOUR, V109, P236, DOI 10.1016/j.advwatres.2017.09.010
   Khaki M, 2020, AUST J EARTH SCI, V67, P265, DOI 10.1080/08120099.2019.1620855
   Kim S., 2019, REMOTE SENSING EARTH, V2, P225, DOI 10.1007/s41976-019-00025-7
   Koley S, 2020, GEODERMA, V378, P0, DOI 10.1016/j.geoderma.2020.114618
   Kumar SV, 2018, REMOTE SENS ENVIRON, V204, P392, DOI 10.1016/j.rse.2017.10.016
   Lee Y, 2019, AGR WATER MANAGE, V213, P580, DOI 10.1016/j.agwat.2018.09.004
   Leng P, 2014, INT J REMOTE SENS, V35, P988, DOI 10.1080/01431161.2013.875237
   Li FQ, 2010, ADV WATER RESOUR, V33, P201, DOI 10.1016/j.advwatres.2009.11.007
   Li L, 2020, FORESTS, V11, P0, DOI 10.3390/f11020125
   Li L, 2018, EARTH SURF PROC LAND, V43, P840, DOI 10.1002/esp.4284
   Li XZ, 2017, J HYDROL, V555, P659, DOI 10.1016/j.jhydrol.2017.10.045
   Liu D, 2017, J HYDROL, V553, P88, DOI 10.1016/j.jhydrol.2017.07.049
   Liu D, 2017, J HYDROL, V547, P67, DOI 10.1016/j.jhydrol.2017.01.036
   Liu D, 2016, J HYDROL, V538, P243, DOI 10.1016/j.jhydrol.2016.04.021
   Liu MS, 2020, WATER-SUI, V12, P0, DOI 10.3390/w12113085
   Liu YXY, 2020, J HYDROL, V590, P0, DOI 10.1016/j.jhydrol.2020.125406
   Liu Y, 2021, IEEE J-STARS, V14, P1292, DOI 10.1109/JSTARS.2020.3043628
   Lu L, 2014, INT J REMOTE SENS, V35, P3797, DOI 10.1080/01431161.2014.919677
   [马红章 Ma Hongzhang], 2014, 遥感学报 JOURNAL OF REMOTE SENSING, V18, P673
   Maheu A, 2018, J HYDROL, V558, P532, DOI 10.1016/j.jhydrol.2018.01.065
   Mahmoud MA, 2015, QUAL RELIAB ENG INT, V31, P851, DOI 10.1002/qre.1644
   Malbeteau Y, 2016, INT J APPL EARTH OBS, V45, P221, DOI 10.1016/j.jag.2015.10.002
   McNally A, 2016, INT J APPL EARTH OBS, V48, P96, DOI 10.1016/j.jag.2016.01.001
   Merlin O, 2015, REMOTE SENS-BASEL, V7, P3783, DOI 10.3390/rs70403783
   Moon H, 2015, TERR ATMOS OCEAN SCI, V26, P599, DOI 10.3319/TAO.2015.04.22.01(Hy)
   Nakamura K, 2017, CHEMOSPHERE, V186, P501, DOI 10.1016/j.chemosphere.2017.07.131
   Niu CY, 2015, SOLID EARTH, V6, P1157, DOI 10.5194/se-6-1157-2015
   Pahlavan-Rad MR, 2020, CATENA, V194, P0, DOI 10.1016/j.catena.2020.104715
   Palombo A, 2019, SENSORS-BASEL, V19, P0, DOI 10.3390/s19071515
   Pan J, 2017, ENVIRON SCI POLLUT R, V24, P23953, DOI 10.1007/s11356-017-9974-5
   Panciera R, 2011, REMOTE SENS ENVIRON, V115, P3343, DOI 10.1016/j.rse.2011.07.017
   Pasolli L, 2011, CAN J REMOTE SENS, V37, P535
   Piles M, 2019, REMOTE SENS-BASEL, V11, P0, DOI 10.3390/rs11010095
   PRICE JC, 1985, REMOTE SENS ENVIRON, V18, P59, DOI 10.1016/0034-4257(85)90038-0
   Qiu Y, 2003, CATENA, V54, P173, DOI 10.1016/S0341-8162(03)00064-X
   Qiu Y, 2010, J ARID ENVIRON, V74, P208, DOI 10.1016/j.jaridenv.2009.08.003
   Rahimi-Ajdadi F, 2018, MEASUREMENT, V121, P179, DOI 10.1016/j.measurement.2018.02.060
   Raoult N, 2018, REMOTE SENS-BASEL, V10, P0, DOI 10.3390/rs10111786
   Sabaghy S, 2018, REMOTE SENS ENVIRON, V209, P551, DOI 10.1016/j.rse.2018.02.065
   Sandells MJ, 2008, ADV WATER RESOUR, V31, P1433, DOI 10.1016/j.advwatres.2008.01.012
   Santi E, 2018, INT J APPL EARTH OBS, V65, P114, DOI 10.1016/j.jag.2017.10.010
   Sharma MJ, 2015, APPL MATH COMPUT, V253, P126, DOI 10.1016/j.amc.2014.12.050
   Sharma S, 2021, INT J WILDLAND FIRE, V30, P57, DOI 10.1071/WF19193
   Sharma S, 2018, RANGELAND ECOL MANAG, V71, P356, DOI 10.1016/j.rama.2018.01.001
   Singh A.K., 2019, J SOIL SALIN WATER Q, V11, P68
   Soleimani R, 2020, COMMUN SOIL SCI PLAN, V51, P2297, DOI 10.1080/00103624.2020.1822385
   Spennemann PC, 2018, INT J APPL EARTH OBS, V64, P96, DOI 10.1016/j.jag.2017.08.016
   Su CH, 2013, GLOBAL PLANET CHANGE, V101, P119, DOI 10.1016/j.gloplacha.2012.12.014
   Sun AY, 2018, ADV WATER RESOUR, V112, P203, DOI 10.1016/j.advwatres.2017.12.019
   Tagesson T, 2018, REMOTE SENS ENVIRON, V206, P424, DOI 10.1016/j.rse.2017.12.036
   Tasumi M, 2013, AGR WATER MANAGE, V118, P22, DOI 10.1016/j.agwat.2012.10.019
   Tayfur G, 2014, J HYDROL, V510, P363, DOI 10.1016/j.jhydrol.2013.12.045
   Wagle P, 2014, REMOTE SENS ENVIRON, V152, P1, DOI 10.1016/j.rse.2014.05.010
   Wang H, 2020, REMOTE SENS LETT, V11, P455, DOI 10.1080/2150704X.2020.1730469
   Wang S, 2013, CATENA, V101, P122, DOI 10.1016/j.catena.2012.10.006
   Wang SS, 2016, INT J APPL EARTH OBS, V48, P110, DOI 10.1016/j.jag.2015.10.010
   Wang XH, 2018, ECOL INDIC, V95, P320, DOI 10.1016/j.ecolind.2018.07.058
   Wang YK, 2021, J HYDROL, V593, P0, DOI 10.1016/j.jhydrol.2020.125865
   Wang YQ, 2018, GEODERMA, V322, P1, DOI 10.1016/j.geoderma.2018.02.007
   Wang ZX, 2019, ECON LETT, V177, P69, DOI 10.1016/j.econlet.2019.01.021
   Wu C.L., 2020, ISPRS INT ARCH PHOTO, V42, P895, DOI 10.5194/isprs-archives-XLII-3-W10-895-2020
   Wu ZH, 2019, ENVIRON EARTH SCI, V78, P0, DOI 10.1007/s12665-019-8111-9
   Xin QC, 2020, INT J APPL EARTH OBS, V93, P0, DOI 10.1016/j.jag.2020.102189
   Xin ZB, 2011, REG ENVIRON CHANGE, V11, P149, DOI 10.1007/s10113-010-0127-3
   Xu CY, 2020, INT J APPL EARTH OBS, V91, P0, DOI 10.1016/j.jag.2020.102156
   Xu L, 2015, REMOTE SENS-BASEL, V7, P14646, DOI 10.3390/rs71114646
   Xu Q, 2003, ADV ATMOS SCI, V20, P849, DOI 10.1007/BF02915509
   Yang RW, 2017, J MT SCI-ENGL, V14, P2284, DOI 10.1007/s11629-016-4262-2
   Yang XY, 2018, ISPRS INT J GEO-INF, V7, P0, DOI 10.3390/ijgi7040145
   Yu BW, 2018, CATENA, V165, P125, DOI 10.1016/j.catena.2018.01.020
   Yuan LA, 2021, REMOTE SENS-BASEL, V13, P0, DOI 10.3390/rs13040589
   Yuan LN, 2020, REMOTE SENS-BASEL, V12, P0, DOI 10.3390/rs12183040
   Zaussinger F, 2019, HYDROL EARTH SYST SC, V23, P897, DOI 10.5194/hess-23-897-2019
   Zhang BQ, 2019, AGR FOREST METEOROL, V264, P247, DOI 10.1016/j.agrformet.2018.10.010
   Zhang DJ, 2016, SENSORS-BASEL, V16, P0, DOI 10.3390/s16081308
   Zhang X, 2016, CAN J REMOTE SENS, V42, P136, DOI 10.1080/07038992.2016.1175928
   Zhao CL, 2017, CATENA, V158, P55, DOI 10.1016/j.catena.2017.06.006
   Zhao JL, 2016, BIOGEOSCIENCES, V13, P4735, DOI 10.5194/bg-13-4735-2016
   Zhao L, 2014, REMOTE SENS ENVIRON, V152, P345, DOI 10.1016/j.rse.2014.07.005
NR 123
TC 5
Z9 5
U1 10
U2 34
PU MDPI
PI BASEL
PA ST ALBAN-ANLAGE 66, CH-4052 BASEL, SWITZERLAND
SN 
EI 2220-9964
J9 ISPRS INT J GEO-INF
JI ISPRS Int. J. Geo-Inf.
PD APR 15
PY 2021
VL 10
IS 4
BP 
EP 
DI 10.3390/ijgi10040233
PG 29
WC Computer Science, Information Systems; Geography, Physical; Remote Sensing
SC Computer Science; Physical Geography; Remote Sensing
GA RR4JD
UT WOS:000643065700001
DA 2023-04-26
ER

PT J
AU Zitzlsberger, G
   Podhoranyi, M
   Svaton, V
   Lazecky, M
   Martinovic, J
AF Zitzlsberger, Georg
   Podhoranyi, Michal
   Svaton, Vaclav
   Lazecky, Milan
   Martinovic, Jan
TI Neural Network-Based Urban Change Monitoring with Deep-Temporal Multispectral and SAR Remote Sensing Data
SO REMOTE SENSING
LA English
DT Article
DE urban change detection; continuous urban monitoring; neural network; SAR; optical multispectral; deep-temporal; ERS-1; ERS-2; Landsat 5 TM; Sentinel 1; Sentinel 2
ID built-up index; impervious surface; extraction; land; classification; framework; space; pixel; area
AB Remote-sensing-driven urban change detection has been studied in many ways for decades for a wide field of applications, such as understanding socio-economic impacts, identifying new settlements, or analyzing trends of urban sprawl. Such kinds of analyses are usually carried out manually by selecting high-quality samples that binds them to small-scale scenarios, either temporarily limited or with low spatial or temporal resolution. We propose a fully automated method that uses a large amount of available remote sensing observations for a selected period without the need to manually select samples. This enables continuous urban monitoring in a fully automated process. Furthermore, we combine multispectral optical and synthetic aperture radar (SAR) data from two eras as two mission pairs with synthetic labeling to train a neural network for detecting urban changes and activities. As pairs, we consider European Remote Sensing (ERS-1/2) and Landsat 5 Thematic Mapper (TM) for 1991-2011 and Sentinel 1 and 2 for 2017-2021. For every era, we use three different urban sites-Limassol, Rotterdam, and Liege-with at least 500 km(2) each, and deep observation time series with hundreds and up to over a thousand of samples. These sites were selected to represent different challenges in training a common neural network due to atmospheric effects, different geographies, and observation coverage. We train one model for each of the two eras using synthetic but noisy labels, which are created automatically by combining state-of-the-art methods, without the availability of existing ground truth data. To combine the benefit of both remote sensing types, the network models are ensembles of optical- and SAR-specialized sub-networks. We study the sensitivity of urban and impervious changes and the contribution of optical and SAR data to the overall solution. Our implementation and trained models are available publicly to enable others to utilize fully automated continuous urban monitoring.
C1 [Zitzlsberger, Georg; Podhoranyi, Michal; Svaton, Vaclav; Lazecky, Milan; Martinovic, Jan] VSB Tech Univ Ostrava, IT4Innovat, Ostrava 70800, Czech Republic.
   [Lazecky, Milan] Univ Leeds, Sch Earth & Environm, Leeds LS2 9JT, W Yorkshire, England.
C3 Technical University of Ostrava; University of Leeds
RP Zitzlsberger, G (corresponding author), VSB Tech Univ Ostrava, IT4Innovat, Ostrava 70800, Czech Republic.
EM georg.zitzlsberger@vsb.cz
FU ESA via the Blockchain ENabled DEep Learning for Space Data (BLENDED) project [4000129481/19/I-IT4I]; Ministry of Education, Youth and Sports from the National Programme of Sustainability (NPS II) project "IT4Innovations excellence in science" [LQ1602]; Ministry of Education, Youth and Sports of the Czech Republic [90140, OPEN-21-31]
CR [Anonymous], 2018, CORR, V0, P0
   Ansari RA, 2020, REMOTE SENS APPL, V20, P0, DOI 10.1016/j.rsase.2020.100418
   Ban YF, 2012, IEEE J-STARS, V5, P1087, DOI 10.1109/JSTARS.2012.2201135
   Benedek C, 2009, IEEE T GEOSCI REMOTE, V47, P3416, DOI 10.1109/TGRS.2009.2022633
   Benedetti A, 2018, INT GEOSCI REMOTE SE, V0, P1962
   Canty MJ, 2008, REMOTE SENS ENVIRON, V112, P1025, DOI 10.1016/j.rse.2007.07.013
   Chen J., 2016, P WORKSH TRACK INT C, V0, P0
   Chen JY, 2020, EUR J REMOTE SENS, V53, P274, DOI 10.1080/22797254.2020.1820383
   Chen JY, 2019, J APPL REMOTE SENS, V13, P0, DOI 10.1117/1.JRS.13.016502
   Chen THK, 2020, REMOTE SENS ENVIRON, V251, P0, DOI 10.1016/j.rse.2020.112096
   Conradsen K, 2016, IEEE T GEOSCI REMOTE, V54, P3007, DOI 10.1109/TGRS.2015.2510160
   Daudt RC, 2018, IEEE IMAGE PROC, V0, PP4063, DOI 10.1109/ICIP.2018.8451652
   Daudt RC, 2018, INT GEOSCI REMOTE SE, V0, P2115
   Demir I, 2018, IEEE COMPUT SOC CONF, V0, PP172, DOI 10.1109/CVPRW.2018.00031
   Deng CB, 2020, REMOTE SENS ENVIRON, V238, P0, DOI 10.1016/j.rse.2018.10.011
   Deng JS, 2008, INT J REMOTE SENS, V29, P4823, DOI 10.1080/01431160801950162
   Diakogiannis FI, 2020, ISPRS J PHOTOGRAMM, V162, P94, DOI 10.1016/j.isprsjprs.2020.01.013
   Esch T, 2020, INT J DIGIT EARTH, V13, P136, DOI 10.1080/17538947.2018.1548655
   Esch T, 2017, ISPRS J PHOTOGRAMM, V134, P30, DOI 10.1016/j.isprsjprs.2017.10.012
   Estoque RC, 2015, ECOL INDIC, V56, P205, DOI 10.1016/j.ecolind.2015.03.037
   Faridatul MI, 2018, ISPRS INT J GEO-INF, V7, P0, DOI 10.3390/ijgi7120453
   Fisher P, 1997, INT J REMOTE SENS, V18, P679, DOI 10.1080/014311697219015
   Gal Yarin, 2016, ADV NEURAL INFORM PR, V2016, P1019
   Glorot X., 2011, P 14 INT C ART INT S, V0, P315
   Gomez-Chova L, 2006, PATTERN RECOGN LETT, V27, P234, DOI 10.1016/j.patrec.2005.08.004
   Graves A, 2012, STUD COMPUT INTELL, V385, P1, DOI 10.1007/978-3-642-24797-2
   Guha S, 2021, QUATERN INT, V575, P249, DOI 10.1016/j.quaint.2020.06.041
   Huang B., 2018, ARXIV180512219, V0, P0
   Huang B., 2019, ARXIV180512219, V0, P0
   Isensee F, 2021, NAT METHODS, V18, P203, DOI 10.1038/s41592-020-01008-z
   Jafari M, 2016, EUR J REMOTE SENS, V49, P513, DOI 10.5721/EuJRS20164927
   Jiang M, 2020, ISPRS J PHOTOGRAMM, V169, P93, DOI 10.1016/j.isprsjprs.2020.08.023
   Jing CB, 2021, REMOTE SENS ENVIRON, V255, P0, DOI 10.1016/j.rse.2021.112293
   Ju C, 2018, J APPL STAT, V45, P2800, DOI 10.1080/02664763.2018.1441383
   Kendall MG, 1938, BIOMETRIKA, V30, P81, DOI 10.2307/2332226
   King MD, 2013, IEEE T GEOSCI REMOTE, V51, P3826, DOI 10.1109/TGRS.2012.2227333
   Krizhevsky A., 2012, ADV NEURAL INFORM PR, V0, PP1097, DOI 10.2165/00129785-200404040-00005
   Kundu K, 2020, J INDIAN SOC REMOTE, V48, P1535, DOI 10.1007/s12524-020-01177-6
   LeCun Y, 1989, NEURAL COMPUT, V1, P541, DOI 10.1162/neco.1989.1.4.541
   Lehner A, 2019, REMOTE SENS-BASEL, V11, P0, DOI 10.3390/rs11020173
   Lu DS, 2011, ISPRS J PHOTOGRAMM, V66, P298, DOI 10.1016/j.isprsjprs.2010.10.010
   Ma J, 2021, MED IMAGE ANAL, V71, P0, DOI 10.1016/j.media.2021.102035
   Manzoni M, 2021, REMOTE SENS ENVIRON, V253, P0, DOI 10.1016/j.rse.2020.112152
   Marconcini M, 2020, SCI DATA, V7, P0, DOI 10.1038/s41597-020-00580-5
   Mitra D, 2018, APPL GEOGR, V97, P109, DOI 10.1016/j.apgeog.2018.04.012
   Moreira A, 2013, IEEE GEOSC REM SEN M, V1, P6, DOI 10.1109/MGRS.2013.2248301
   Muro J, 2016, REMOTE SENS-BASEL, V8, P0, DOI 10.3390/rs8100795
   Nguyen L., 2019, J AMBIENT INTELL HUM, V0, PP1, DOI 10.1007/S12652-019-01276-4
   Nguyen T., 2020, P INT C LEARN REPR I, V0, P0
   Nielsen AA, 2017, INT GEOSCI REMOTE SE, V0, PP3901, DOI 10.1109/IGARSS.2017.8127854
   Pandey D, 2020, ADV SPACE RES, V66, P1829, DOI 10.1016/j.asr.2020.06.038
   Patra S, 2007, LECT NOTES COMPUT SC, V4815, P161
   Qin YW, 2017, ISPRS J PHOTOGRAMM, V124, P89, DOI 10.1016/j.isprsjprs.2016.12.011
   Reina GA, 2020, FRONT NEUROSCI-SWITZ, V14, P0, DOI 10.3389/fnins.2020.00065
   Roth HR, 2018, COMPUT MED IMAG GRAP, V66, P90, DOI 10.1016/j.compmedimag.2018.03.001
   Roy M, 2014, IEEE GEOSCI REMOTE S, V11, P49, DOI 10.1109/LGRS.2013.2245855
   Shahroudnejad A., 2021, ARXIV2021210201792, V0, P0
   Shi X., 2015, ADV NEURAL INFORM PR, V28, P802, DOI 10.5555/2969239.2969329
   SINGH A, 1989, INT J REMOTE SENS, V10, P989, DOI 10.1080/01431168908903939
   Sinha S, 2020, ADV SPACE RES, V66, P1372, DOI 10.1016/j.asr.2020.05.040
   Song H., 2020, ARXIV200708199, V0, P0
   Susaki J, 2014, REMOTE SENS ENVIRON, V155, P334, DOI 10.1016/j.rse.2014.09.006
   Valentin B, 2021, P 2021 C BIG DATA SP, V0, PP97, DOI 10.2760/125905.
   Wania A, 2014, APPL GEOGR, V46, P35, DOI 10.1016/j.apgeog.2013.10.005
   Xiao PF, 2016, ISPRS J PHOTOGRAMM, V119, P402, DOI 10.1016/j.isprsjprs.2016.07.003
   Xu HQ, 2006, INT J REMOTE SENS, V27, P3025, DOI 10.1080/01431160600589179
   Xu HQ, 2010, PHOTOGRAMM ENG REM S, V76, P557, DOI 10.14358/PERS.76.5.557
   Yoo C, 2019, ISPRS J PHOTOGRAMM, V157, P155, DOI 10.1016/j.isprsjprs.2019.09.009
   You YN, 2020, REMOTE SENS-BASEL, V12, P0, DOI 10.3390/rs12152460
   Zhang HS, 2016, LANDSCAPE URBAN PLAN, V151, P55, DOI 10.1016/j.landurbplan.2016.03.009
   Zhang M, 2020, IEEE T GEOSCI REMOTE, V58, P7232, DOI 10.1109/TGRS.2020.2981051
   Zhang SH, 2018, IEEE ACCESS, V6, P41224, DOI 10.1109/ACCESS.2018.2857405
   Zhong JL, 2020, J CLEAN PROD, V259, P0, DOI 10.1016/j.jclepro.2020.120754
   Zhu XX, 2017, IEEE GEOSC REM SEN M, V5, P8, DOI 10.1109/MGRS.2017.2762307
   Zinkevich M., 2010, NEURAL INFORM PROCES, V0, P0
NR 75
TC 5
Z9 5
U1 7
U2 31
PU MDPI
PI BASEL
PA ST ALBAN-ANLAGE 66, CH-4052 BASEL, SWITZERLAND
SN 
EI 2072-4292
J9 REMOTE SENS-BASEL
JI Remote Sens.
PD AUG 15
PY 2021
VL 13
IS 15
BP 
EP 
DI 10.3390/rs13153000
PG 31
